P40509,COPE_YEAST,YIL076W,Coatomer subunit epsilon,SEC28,ANU2
P07262,DHE4_YEAST,YOR375C,NADP-specific glutamate dehydrogenase 1,GDH1,GDH-A;GDHA;URE1
Q12483,SNF8_YEAST,YPL002C,Vacuolar sorting protein SNF8,SNF8,VPS22
Q12059,ULA1_YEAST,YPL003W,NEDD8-activating enzyme E1 regulatory subunit,ULA1,ENR2
P22516,CHL1_YEAST,YPL008W,Probable ATP-dependent RNA helicase CHL1,CHL1,CTF1;LPA9
Q12297,TAF3_YEAST,YPL011C,Transcription initiation factor TFIID subunit 3,TAF3,TAF47
Q02732,CTF19_YEAST,YPL018W,Central kinetochore subunit CTF19,CTF19,MCM18
Q02725,VTC3_YEAST,YPL019C,Vacuolar transporter chaperone 3,VTC3,PHM2
Q02724,ULP1_YEAST,YPL020C,Ubiquitin-like-specific protease 1,ULP1,NIB1
Q02710,ECM23_YEAST,YPL021W,Extracellular matrix protein 23,ECM23,SRD2
P06777,RAD1_YEAST,YPL022W,DNA repair protein RAD1,RAD1,LPB9
Q02685,RMI1_YEAST,YPL024W,RecQ-mediated genome instability protein 1,RMI1,NCE4
Q12505,SKS1_YEAST,YPL026C,Serine/threonine-protein kinase SKS1,SKS1,SHA3
P41338,THIL_YEAST,YPL028W,Acetyl-CoA acetyltransferase,ERG10,LPB3;TSM0115
P32580,SUV3_YEAST,YPL029W,ATP-dependent RNA helicase SUV3, mitochondrial precursor,SUV3,LPB2
Q08817,SOG2_YEAST,YOR353C,Leucine-rich repeat-containing protein SOG2,SOG2,
P17157,PHO85_YEAST,YPL031C,Cyclin-dependent protein kinase PHO85,PHO85,LDB15;SSG3
P39073,SSN3_YEAST,YPL042C,Meiotic mRNA stability protein kinase SSN3,SSN3,ARE1;CDK8;GIG2;NUT7;RYE5;SRB10;UME5
P37838,NOP4_YEAST,YPL043W,Nucleolar protein 4,NOP4,NOP77
Q03308,VPS16_YEAST,YPL045W,Vacuolar protein sorting-associated protein 16,VPS16,SVL6;VAM9;VPT16
P29547,EF1G1_YEAST,YPL048W,Elongation factor 1-gamma 1,CAM1,TEF3
Q03063,DIG1_YEAST,YPL049C,Down-regulator of invasive growth 1,DIG1,RST1
Q02804,ARL3_YEAST,YPL051W,ADP-ribosylation factor-like protein 3,ARL3,ARP1
Q02803,OAZ_YEAST,YPL052W,Ornithine decarboxylase antizyme,OAZ1,YPL052W-A
P54070,KTR6_YEAST,YPL053C,Mannosyltransferase KTR6,KTR6,MNN6
P33300,SUR1_YEAST,YPL057C,Mannosyl phosphorylinositol ceramide synthase SUR1,SUR1,BCL21;CSG1;LPE15
P54115,ALDH6_YEAST,YPL061W,Magnesium-activated aldehyde dehydrogenase, cytosolic,ALD6,ALD1;ALDH1
Q02770,CWC27_YEAST,YPL064C,Peptidyl-prolyl isomerase CWC27,CWC27,CYP7
Q02767,VPS28_YEAST,YPL065W,Vacuolar protein sorting-associated protein 28,VPS28,VPT28
P07261,GCR1_YEAST,YPL075W,Glycolytic genes transcriptional activator GCR1,GCR1,LPF10;SIT3
P46961,GPI2_YEAST,YPL076W,Phosphatidylinositol N-acetylglucosaminyltransferase GPI2 subunit,GPI2,GCR4
P05626,ATPF_YEAST,YPL078C,ATP synthase subunit 4, mitochondrial precursor,ATP4,LPF7
O13516,RS9A_YEAST,YPL081W,40S ribosomal protein S9-A,RPS9A,RPS13A;YS11A
P32333,MOT1_YEAST,YPL082C,TATA-binding protein-associated factor MOT1,MOT1,BTAF1;BUR3;LPF4
P48582,BRO1_YEAST,YPL084W,Vacuolar sorting protein BRO1,BRO1,ASI6;LPF2;NPI3;VPS31
P48415,SEC16_YEAST,YPL085W,Multidomain vesicle coat protein,SEC16,LPF1
Q02908,ELP3_YEAST,YPL086C,Elongator complex protein 3,ELP3,HPA1;TOT3
P02365,RS6_YEAST,YBR181C,40S ribosomal protein S6,RPS6B,RPS101;RPS10B
P02365,RS6_YEAST,YPL090C,40S ribosomal protein S6,RPS6A,RPS101;RPS10B
P41921,GSHR_YEAST,YPL091W,Glutathione reductase,GLR1,LPG17
P41930,SSU1_YEAST,YPL092W,Sulfite sensitivity protein SSU1,SSU1,LPG16
P21825,SEC62_YEAST,YPL094C,Translocation protein SEC62,SEC62,LPG14
Q03088,SVL3_YEAST,YPL032C,Styryl dye vacuolar localization protein 3,SVL3,
P62651,ERI1_YEAST,YPL096C-A,Phosphatidylinositol N-acetylglucosaminyltransferase ERI1 subunit,ERI1,RIN1
Q02887,ATG21_YEAST,YPL100W,Autophagy-related protein 21,ATG21,CVT21;HSV1;MAI1
Q02884,ELP4_YEAST,YPL101W,Elongator complex protein 4,ELP4,HAP1;TOT7
P15179,SYDM_YEAST,YPL104W,Aspartyl-tRNA synthetase, mitochondrial,MSD1,LPG5
P32589,HSP7F_YEAST,YPL106C,Heat shock protein homolog SSE1,SSE1,LPG3;MSI3
P00812,ARGI_YEAST,YPL111W,Arginase,CAR1,LPH15;cargA
P15496,IDI1_YEAST,YPL117C,Isopentenyl-diphosphate Delta-isomerase,IDI1,BOT2;LPH10
P24784,DBP1_YEAST,YPL119C,ATP-dependent RNA helicase DBP1,DBP1,LPH8
Q02948,VPS30_YEAST,YPL120W,Vacuolar protein sorting-associated protein 30,VPS30,APG6;ATG6;VPT30
P32489,MEI5_YEAST,YPL121C,Meiosis protein 5,MEI5,LPH6
Q02931,NAN1_YEAST,YPL126W,Nucleolar protein NAN1,NAN1,UTP17
Q02457,TBF1_YEAST,YPL128C,Protein TBF1,TBF1,LPI16
P35189,TAF14_YEAST,YPL129W,Transcription initiation factor TFIID subunit 14,TAF14,ANC1;CST10;SWP29;TAF30;TFG3
P26321,RL5_YEAST,YPL131W,60S ribosomal protein L5,RPL5,LPI14;RPL1
P19516,COX11_YEAST,YPL132W,Cytochrome c oxidase assembly protein COX11, mitochondrial precursor,COX11,LPI13;PSO7
Q02979,GDE1_YEAST,YPL110C,Glycerophosphodiester phosphodiesterase GDE1,GDE1,
Q03020,ISU1_YEAST,YPL135W,Iron sulfur cluster assembly protein 1, mitochondrial precursor,ISU1,NUA1
Q03012,SPP1_YEAST,YPL138C,COMPASS component SPP1,SPP1,CPS40;SAF41
Q03010,UME1_YEAST,YPL139C,Transcriptional regulatory protein UME1,UME1,WTM3
P32491,MKK2_YEAST,YPL140C,MAP kinase kinase MKK2/SSP33,MKK2,LPI6;SSP33
P05744,RL33A_YEAST,YPL143W,60S ribosomal protein L33-A,RPL33A,RPL37A
Q02969,PEX25_YEAST,YPL112C,Peroxisomal membrane protein PEX25,PEX25,
P35844,KES1_YEAST,YPL145C,Protein KES1,KES1,BSR3;LPI3;OSH4
P53551,H1_YEAST,YPL127C,Histone H1,HHO1,
P41909,PXA1_YEAST,YPL147W,Peroxisomal long-chain fatty acid import protein 2,PXA1,LPI1;PAL1;PAT2;SSH2
Q12380,ATG5_YEAST,YPL149W,Autophagy protein 5,ATG5,APG5
Q12417,PRP46_YEAST,YPL151C,Pre-mRNA-splicing factor PRP46,PRP46,CWC1;NTC50
Q12461,PTPA2_YEAST,YPL152W,Serine/threonine-protein phosphatase 2A activator 2,RRD2,NOH1;YPA2
P22216,RAD53_YEAST,YPL153C,Serine/threonine-protein kinase RAD53,RAD53,LSD1;MEC2;SAD1;SPK1
P07267,CARP_YEAST,YPL154C,Saccharopepsin precursor,PEP4,PHO9;PRA1;yscA
P39011,BEM4_YEAST,YPL161C,Bud emergence protein 4,BEM4,ROM7
P14284,DPOZ_YEAST,YPL167C,DNA polymerase zeta catalytic subunit,REV3,PSO1
P41816,OYE3_YEAST,YPL171C,NADPH dehydrogenase 3,OYE3,ZRG6
P32363,GPI3_YEAST,YPL175W,Phosphatidylinositol N-acetylglucosaminyltransferase GPI3 subunit,SPT14,CWH6;GPI3
Q08920,NCBP2_YEAST,YPL178W,Nuclear cap-binding protein subunit 2,CBC2,CBP20;MUD13;SAE1
P36002,PTK1_YEAST,YKL198C,Serine/threonine-protein kinase PTK1/STK1,PTK1,KKT8;POT1;STK1;YKL199C;YKT9
P32945,PPQ1_YEAST,YPL179W,Serine/threonine-protein phosphatase PPQ,PPQ1,SAL6
Q08923,CTI6_YEAST,YPL181W,Transcriptional regulatory protein CTI6,CTI6,RXT1
Q08921,TCO89_YEAST,YPL180W,Target of rapamycin complex 1 subunit TCO89,TCO89,
P38996,NAB3_YEAST,YPL190C,Nuclear polyadenylated RNA-binding protein 3,NAB3,HMD1
Q08951,AP3D_YEAST,YPL195W,AP-3 complex subunit delta,APL5,YKS4
Q12213,RL7B_YEAST,YPL198W,60S ribosomal protein L7-B,RPL7B,RPL6B;YL8B
P06245,KAPB_YEAST,YPL203W,cAMP-dependent protein kinase type 2,TPK2,PKA2;PKA3;YKR1
Q08926,UIP4_YEAST,YPL186C,ULP1-interacting protein 4,UIP4,
P38991,IPL1_YEAST,YPL209C,Spindle assembly checkpoint kinase,IPL1,PAC15
P53030,RL1_YEAST,YGL135W,60S ribosomal protein L1,RPL1B,SSM1;SSM1A
P53030,RL1_YEAST,YPL220W,60S ribosomal protein L1,RPL1A,SSM1;SSM1A
Q08967,FLC1_YEAST,YPL221W,Flavin carrier protein 1 precursor,FLC1,BOP1;HUF1
Q06892,POS5_YEAST,YPL188W,NADH kinase POS5, mitochondrial precursor,POS5,
Q08970,MMT2_YEAST,YPL224C,Mitochondrial metal transporter 2, mitochondrial precursor,MMT2,MFT2
O13297,CET1_YEAST,YPL228W,mRNA capping enzyme subunit beta,CET1,CES5
Q12464,RUVB2_YEAST,YPL235W,RuvB-like protein 2,RVB2,TIH2;TIP49;TIP49B
P09064,IF2B_YEAST,YPL237W,Eukaryotic translation initiation factor 2 subunit beta,SUI3,TIF212
P02829,HSP82_YEAST,YPL240C,ATP-dependent molecular chaperone HSP82,HSP82,HSP90
Q12280,IQG1_YEAST,YPL242C,Ras GTPase-activating-like protein IQG1,IQG1,CYK1
Q12520,HUT1_YEAST,YPL244C,UDP-galactose transporter homolog 1,HUT1,MLF6
P04386,GAL4_YEAST,YPL248C,Regulatory protein GAL4,GAL4,GAL81
O14455,RL36B_YEAST,YPL249C-A,60S ribosomal protein L36-B,RPL36B,RPL39B
Q12060,HFI1_YEAST,YPL254W,Transcriptional coactivator HFI1/ADA1,HFI1,ADA1;GAN1;SRM12;SUP110
Q00776,AP1M1_YEAST,YPL259C,AP-1 complex subunit mu-1,APM1,YAP54
P41819,DIM1_YEAST,YPL266W,Dimethyladenosine transferase,DIM1,CDH1
P33311,MDL2_YEAST,YPL270W,ATP-dependent permease MDL2, mitochondrial precursor,MDL2,SSH1
P21306,ATP5E_YEAST,YPL271W,ATP synthase epsilon chain, mitochondrial,ATP15,ATPEPSILON
P53345,YRF13_YEAST,YGR296W,Y' element ATP-dependent helicase protein 1 copies 3/7,YRF1-3,YRF1
P53345,YRF13_YEAST,YPL283C,Y' element ATP-dependent helicase protein 1 copies 3/7,YRF1-7,YRF1
Q08975,THI21_YEAST,YPL258C,Phosphomethylpyrimidine kinase THI21,THI21,
Q12188,REC8_YEAST,YPR007C,Meiotic recombination protein REC8,REC8,SPO69
Q12522,IF6_YEAST,YPR016C,Eukaryotic translation initiation factor 6,TIF6,CDC95
P32795,YME1_YEAST,YPR024W,Protein YME1,YME1,OSD1;YTA11
Q12402,YOP1_YEAST,YPR028W,Protein YOP1,YOP1,YIP2
Q12734,CSR2_YEAST,YPR030W,Transcription factor CSR2,CSR2,MRG19
P07263,SYH_YEAST,YPR033C,Histidyl-tRNA synthetase, mitochondrial precursor,HTS1,TSM4572
Q12406,ARP7_YEAST,YPR034W,Actin-like protein ARP7,ARP7,RSC11;SWP61
P41807,VATH_YEAST,YPR036W,Vacuolar ATP synthase subunit H,VMA13,CLS11
P38431,IF5_YEAST,YPR041W,Eukaryotic translation initiation factor 5,TIF5,SUI5
P08417,FUMH_YEAST,YPL262W,Fumarate hydratase, mitochondrial precursor,FUM1,
Q12527,ATG11_YEAST,YPR049C,Autophagy-related protein 11,ATG11,CVT9
P11632,NHP6A_YEAST,YPR052C,Nonhistone chromosomal protein 6A,NHP6A,NHPA
P32178,CHMU_YEAST,YPR060C,Chorismate mutase,ARO7,HGS1;OSM2;TYR7
Q12178,FCY1_YEAST,YPR062W,Cytosine deaminase,FCY1,yCD
P25042,ROX1_YEAST,YPR065W,Repressor ROX1,ROX1,REO1
P02994,EF1A_YEAST,YBR118W,Elongation factor 1-alpha,TEF2,EF-1 alpha
P02994,EF1A_YEAST,YPR080W,Elongation factor 1-alpha,TEF1,EF-1 alpha
Q06819,DIB1_YEAST,YPR082C,Spliceosomal protein DIB1,DIB1,CDH1;SNU16
P29055,TF2B_YEAST,YPR086W,Transcription initiation factor IIB,SUA7,SOH4
P20424,SRP54_YEAST,YPR088C,Signal recognition particle subunit SRP54,SRP54,SRH1
Q06091,SN309_YEAST,YPR101W,Pre-mRNA-splicing factor SNT309,SNT309,NTC25
P0C0W9,RL11A_YEAST,YPR102C,60S ribosomal protein L11-A,RPL11A,RP39A;RPL16A
P30656,PSB5_YEAST,YPR103W,Proteasome component PRE2 precursor,PRE2,DOA3;PRG1;SRR2
P39521,FHL1_YEAST,YPR104C,Pre-rRNA-processing protein FHL1,FHL1,SPP42
Q06096,COG4_YEAST,YPR105C,Conserved oligomeric Golgi complex subunit 4,COG4,COD1;SEC38;SGF1
P06197,PIS_YEAST,YPR113W,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,PIS1,PIS
Q99344,UBA3_YEAST,YPR066W,NEDD8-activating enzyme E1 catalytic subunit,UBA3,
P40851,AXL1_YEAST,YPR122W,Putative protease AXL1,AXL1,FUS5;STE22
Q06493,YLH47_YEAST,YPR125W,Protein YLH47, mitochondrial precursor,YLH47,MRS7
P45978,SCD6_YEAST,YPR129W,Protein SCD6,SCD6,LSM13
P32827,RS23_YEAST,YGR118W,40S ribosomal protein S23,RPS23A,RPS28B
P32827,RS23_YEAST,YPR132W,40S ribosomal protein S23,RPS23B,RPS28B
P80967,TOM5_YEAST,YPR133W-A,Mitochondrial import receptor subunit TOM5,TOM5,MOM8A
Q01454,CTF4_YEAST,YPR135W,DNA polymerase alpha-binding protein,CTF4,CHL15;POB1
P17119,KAR3_YEAST,YPR141C,Kinesin-like protein KAR3,KAR3,OSR11
Q06512,NOC4_YEAST,YPR144C,Nucleolar complex protein 4,NOC4,UTP19
Q12207,NCE2_YEAST,YPR149W,Non-classical export protein 2,NCE102,NCE2;RTG2S2
Q06449,PIN3_YEAST,YPR154W,[PSI+] inducibility protein 3,PIN3,LSB2
P32486,KRE6_YEAST,YPR159W,Beta-glucan synthesis-associated protein KRE6,KRE6,CWH48
P23293,BUR1_YEAST,YPR161C,Serine/threonine-protein kinase BUR1,SGV1,BUR1
P34167,IF4B_YEAST,YPR163C,Eukaryotic translation initiation factor 4B,TIF3,RBL3;STM1;TIF42
Q06211,MMS1_YEAST,YPR164W,Methyl methanesulfonate-sensitivity protein 1,MMS1,KIM3;RTT108;SLM6
Q06213,MED10_YEAST,YPR168W,RNA polymerase II mediator complex subunit 10,NUT2,MED10
P52917,VPS4_YEAST,YPR173C,Vacuolar protein sorting-associated protein 4,VPS4,CSC1;DID6;END13;GRD13;VPL4;VPT10
P20053,PRP4_YEAST,YPR178W,U4/U6 small nuclear ribonucleoprotein PRP4,PRP4,RNA4
Q06623,HDA3_YEAST,YPR179C,HDA1 complex subunit 3,HDA3,PLO1
Q06624,RHC31_YEAST,YPR180W,DNA damage tolerance protein RHC31,AOS1,RHC31
P14020,DPM1_YEAST,YPR183W,Dolichol-phosphate mannosyltransferase,DPM1,SED3
Q06628,ATG13_YEAST,YPR185W,Autophagy-related protein 13,ATG13,APG13
P17883,SKI3_YEAST,YPR189W,Superkiller protein 3,SKI3,SKI5
P07257,UQCR2_YEAST,YPR191W,Ubiquinol-cytochrome-c reductase complex core protein 2, mitochondrial precursor,QCR2,COR2;UCR2
P33335,SGE1_YEAST,YPR198W,Protein SGE1,SGE1,NOR1
Q06596,YAP8_YEAST,YPR199C,AP-1-like transcription factor YAP8,ARR1,ACR1;YAP8
P31374,KAB7_YEAST,YAL017W,Probable serine/threonine-protein kinase YAL017W,PSK1,FUN31
P39732,YAD1_YEAST,YAL031C,Uncharacterized protein YAL031C,GIP4,FUN21
P39729,YAD6_YEAST,YAL036C,Uncharacterized GTP-binding protein YAL036C,RBG1,FUN11
P39723,YAE7_YEAST,YAL047C,Uncharacterized protein YAL047C,SPC72,LDB4
P38199,YBD2_YEAST,YBL032W,KH domain-containing protein YBL032W,HEK2,KHD1
P34216,YBE7_YEAST,YBL047C,Uncharacterized protein YBL047C,EDE1,BUD15
P38175,YBJ0_YEAST,YBL090W,Uncharacterized protein YBL090W,MRP21,MRP50
P38227,YBP3_YEAST,YBR043C,Uncharacterized transporter YBR043C,QDR3,AQR2
P38247,YBS7_YEAST,YBR077C,Uncharacterized protein YBR077C,SLM4,EGO3;GSE1;NIR1
P38273,YBY1_YEAST,YBR131W,Uncharacterized protein YBR131W,CCZ1,CVT16
P38285,YB08_YEAST,YBR158W,Uncharacterized protein YBR158W,AMN1,CST13;ICS4
Q96VH4,YC026_YEAST,YCL026C-B,Uncharacterized protein YCL026C-B,HBN1,YCL027C-A
P25591,YCG3_YEAST,YCL063W,Uncharacterized protein YCL063W,VAC17,YCL062W
P25613,YCQ0_YEAST,YCR010C,Uncharacterized protein YCR010C,ADY2,ATO1
P25646,YCW9_YEAST,YCR079W,Protein phosphatase 2C-like protein YCR079W,PTC6,AUP1
P28817,YD036_YEAST,YDR036C,Uncharacterized protein YDR036C,EHD3,MRP5
P40003,YEA5_YEAST,YEL005C,Uncharacterized protein YEL005C,VAB2,VAB31
P39953,YEA6_YEAST,YEL006W,Probable mitochondrial carrier YEL006W,YEA6,NDT2
P40027,YEM9_YEAST,YER039C,Uncharacterized protein YER039C,HVG1,YEM9
P32643,YE05_YEAST,YER175C,Uncharacterized protein YER175C,TMT1,TAM1
P43558,YFE4_YEAST,YFL044C,Uncharacterized protein YFL044C,OTU1,YOD1
P53159,YGH5_YEAST,YGL075C,Hypothetical 44.6 kDa protein in RPL7A-HSF1 intergenic region,MPS2,MMC1
P53145,YGJ9_YEAST,YGL099W,Uncharacterized GTP-binding protein YGL099W,LSG1,KRE35
P53129,YGM4_YEAST,YGL124C,Hypothetical 73.5 kDa protein in MET13-RPS2 intergenic region,MON1,AUT12
P53295,YG3Y_YEAST,YGR173W,Uncharacterized GTP-binding protein YGR173W,RBG2,GIR1
P53335,YG5W_YEAST,YGR280C,Uncharacterized protein YGR280W,PXR1,GNO1
P38766,YHJ1_YEAST,YHR031C,Putative ATP-dependent helicase YHR031C,RRM3,RTT104
P38790,YHM7_YEAST,YHR067W,Uncharacterized protein YHR067W,HTD2,RMD12
P38801,YHO1_YEAST,YHR081W,Hypothetical 21.0 kDa protein in IRE1-KSP1 intergenic region,LRP1,RRP47;YC1D
P38823,YHR5_YEAST,YHR115C,RING finger protein YHR115C,DMA1,CHF1
P38825,YHR7_YEAST,YHR117W,TPR repeat-containing protein YHR117W,TOM71,TOM72
P46984,YJS4_YEAST,YJL184W,Uncharacterized protein YJL184W,GON7,LDB6;PCC2
P47089,DENR_YEAST,YJR014W,Density-regulated protein homolog,TMA22,RBF22
P47112,YJ16_YEAST,YJR046W,Hypothetical 68.4 kDa protein in SSC1-HYP1 intergenic region,TAH11,CDT1;SID2
P47120,YJ40_YEAST,YJR070C,Hypothetical 36.2 kDa protein in HAM1-PEM2 intergenic region,LIA1,MMD1
P47156,YJ89_YEAST,YJR119C,Hypothetical 85.0 kDa protein in STE24-ATP2 intergenic region,JHD2,KDM5
P28496,YKA8_YEAST,YKL008C,Uncharacterized TLC domain-containing protein YKL008C,LAC1,DGT1
P34243,YKB7_YEAST,YKL017C,Putative ATP-dependent helicase YKL017C,HCS1,DIP1
P35732,YKF4_YEAST,YKL054C,Uncharacterized protein YKL054C,DEF1,VID31
P28320,YKJ5_YEAST,YKL095W,32.3 kDa protein in CWP1-MBR1 intergenic region,YJU2,CWC16
P34244,KKK1_YEAST,YKL101W,Probable serine/threonine-protein kinase YKL101W,HSL1,NIK1
P32343,YKM4_YEAST,YKL124W,Uncharacterized protein YKL124W,SSH4,MLF4
P36040,YKU6_YEAST,YKL206C,Hypothetical 30.7 kDa protein in STE6-LOS1 intergenic region,ADD66,PBA2;POC2
P36038,YKU8_YEAST,YKL208W,Hypothetical 31.2 kDa protein in STE6-LOS1 intergenic region,CBT1,SOC1
Q02205,YKY7_YEAST,YKR007W,Uncharacterized protein YKR007W,MEH1,EGO1;GSE2
P36122,YK07_YEAST,YKR027W,Hypothetical 88.0 kDa protein in GCN3-SAP190 intergenic region,BCH2,FMP50
P23501,YK33_YEAST,YKR053C,Hypothetical 46.5 kDa protein in MRS4-DYN1 intergenic region,YSR3,LBP2
Q07843,YL033_YEAST,YLL033W,Sporulation protein YLL033W,IRC19,GON2
Q07951,YL021_YEAST,YLR021W,Uncharacterized protein YLR021W,IRC25,POC3
Q06177,STF2L_YEAST,YLR327C,STF2-like protein YLR327C,TMA10,RBF9
Q04235,YMA5_YEAST,YML005W,Hypothetical 52.7 kDa protein in PDR4-GLO1 intergenic region,TRM12,TYW2
Q04746,YMV5_YEAST,YMR065W,Hypothetical 58.4 kDa protein in NCA1-HMS1 intergenic region,KAR5,FIG3
Q04322,YM52_YEAST,YMR192W,Uncharacterized protein YMR192W,GYL1,APP2
P38428,YM8E_YEAST,YMR264W,Hypothetical 22.8 kDa protein in TPS3-IPP2 intergenic region,CUE1,KIS4
Q03525,YM8H_YEAST,YMR269W,Uncharacterized protein YMR269W,TMA23,YMR268W-A
P53939,YNH8_YEAST,YNL078W,Uncharacterized protein YNL078W,NIS1,JIP1
P50942,YNK6_YEAST,YNL106C,Uncharacterized protein YNL106C,INP52,SJL2
P53924,YNL6_YEAST,YNL116W,RING finger protein YNL116W,DMA2,CHF2
P53920,YNM3_YEAST,YNL123W,Hypothetical 110.9 kDa protein in SPC98-TOM70 intergenic region,NMA111,YNM3
P53893,YNQ3_YEAST,YNL163C,Uncharacterized GTP-binding protein YNL163C,RIA1,EFL1
P48563,YN37_YEAST,YNL297C,Uncharacterized protein YNL297C,MON2,YSL2
P42844,YN50_YEAST,YNL310C,Uncharacterized protein YNL310C,ZIM17,FMP28;HEP1;TIM15
P53743,YN8V_YEAST,YNR054C,Uncharacterized protein YNR054C,ESF2,ABT1
P52923,YN9B_YEAST,YNR074C,Uncharacterized protein YNR074C,AIF1,CPD1
Q12049,YP045_YEAST,YPR045C,Uncharacterized protein YPR045C,MNI2,
Q06489,MTNA_YEAST,YPR118W,Methylthioribose-1-phosphate isomerase,MRI1,
P36169,SKG1_YEAST,YKR100C,Suppressor of lethality of KEX2 GAS1 double null mutant protein 1,SKG1,YKR099C-A
Q12324,YVC1_YEAST,YOR087W,Calcium channel YVC1,YVC1,YOR088W
Q08471,YO066_YEAST,YOR066W,Putative transcriptional activator YOR066W,MSA1,YOR29-17
Q08485,THIX_YEAST,YOR071C,Putative thiamine transporter YOR071C,THI71,YOR29-22
Q08548,YO175_YEAST,YOR175C,Putative membrane-bound O-acyltransferase YOR175C,ALE1,LCA1;LPT1;SLC4
Q12080,YP146_YEAST,YPL146C,Uncharacterized protein YPL146C,NOP53,RRP16
Q12383,YO125_YEAST,YOL125W,Uncharacterized protein YOL125W,TRM13,
Q12222,KOM8_YEAST,YOL128C,Probable serine/threonine-protein kinase YOL128C,YGK3,
Q08416,YO044_YEAST,YOR044W,Uncharacterized membrane protein YOR044W,IRC23,
Q12453,YO112_YEAST,YOR112W,Uncharacterized protein YOR112W,CEX1,
Q12232,YO154_YEAST,YOR154W,Uncharacterized protein YOR154W precursor,SLP1,
Q12104,YO166_YEAST,YOR166C,Putative transcriptional activator YOR166C,SWT1,
Q08579,THIY_YEAST,YOR192C,Putative thiamine transporter YOR192C,THI72,
Q08647,YO7T_YEAST,YOR243C,Putative pseudouridine synthase YOR243C,PUS7,
Q12029,YO271_YEAST,YOR271C,Probable mitochondrial transport protein YOR271C,FSF1,
Q02648,U383_YEAST,YPL030W,Putative methyltransferase UPF0383,TRM44,
Q02891,YP095_YEAST,YPL095C,UPF0017 protein YPL095C,EEB1,
P19541,YP133_YEAST,YPL133C,Probable transcriptional regulatory protein YPL133C,RDS2,
Q08925,YP184_YEAST,YPL184C,Probable RNA-binding protein YPL184C,MRN1,
Q08960,YP207_YEAST,YPL207W,UPF0026 protein YPL207W,TYW1,
Q08968,YP222_YEAST,YPL222W,UPF0061 protein YPL222W,FMP40,
Q12132,YP230_YEAST,YPL230W,Zinc finger protein YPL230W,USV1,
Q12428,YP002_YEAST,YPR002W,Uncharacterized protein YPR002W,PDH1,
Q12455,SPSY_YEAST,YLR146C,Spermine synthase,SPE4,
P53927,YNL0_YEAST,YNL110C,Probable RNA-binding protein YNL110C,NOP15,
P40341,RCA1_YEAST,YMR089C,Mitochondrial respiratory chain complexes assembly protein RCA1,YTA12,RCA1
P38631,GLS1_YEAST,YLR342W,1,3-beta-glucan synthase component GLS1,FKS1,CND1;CWH53;ETG1;GLS1;GSC1;PBR1
P40989,GLS2_YEAST,YGR032W,1,3-beta-glucan synthase component GLS2,GSC2,FKS2;GLS2
P01149,MFAL1_YEAST,YPL187W,Mating factor alpha-1 precursor,MF(ALPHA)1,MF-ALPHA-1;MFAL1
P32435,MFAL2_YEAST,YGL089C,Mating factor alpha-2 precursor,MF(ALPHA)2,MF-ALPHA-2;MFAL2
P33420,NIP80_YEAST,YPL174C,Protein NIP80,NIP100,NIP80;PAC13
P32784,GPT1_YEAST,YBL011W,Glycerol-3-phosphate O-acyltransferase 1,SCT1,GAT2;GPT1
P39709,SEO1_YEAST,YAL067C,Probable transporter SEO1,SEO1,
P39551,PRM9_YEAST,YAR031W,Pheromone-regulated membrane protein 9,PRM9,
P39552,MST28_YEAST,YAR033W,Multicopy suppressor of SEC21 protein 28,MST28,
P80235,CACM_YEAST,YAR035W,Putative mitochondrial carnitine O-acetyltransferase,YAT1,
P35842,PPAB_YEAST,YAR071W,Acid phosphatase PHO11 precursor,PHO11,
P39567,IMDH1_YEAST,YAR073W,Probable inosine-5'-monophosphate dehydrogenase IMD1,IMD1,
P38374,YSY6_YEAST,YBR162W-A,Protein YSY6,YSY6,
P36526,RM27_YEAST,YBR282W,60S ribosomal protein L27, mitochondrial precursor,MRPL27,
Q12310,PRR2_YEAST,YDL214C,Serine/threonine-protein kinase PRR2,PRR2,
P38995,ATU2_YEAST,YDR270W,Copper-transporting ATPase,CCC2,
Q05610,DON1_YEAST,YDR273W,Donuts protein 1,DON1,
P04161,PUR3_YEAST,YDR408C,Phosphoribosylglycinamide formyltransferase,ADE8,
P32584,STE14_YEAST,YDR410C,Protein-S-isoprenylcysteine O-methyltransferase,STE14,
P45818,ROK1_YEAST,YGL171W,ATP-dependent RNA helicase ROK1,ROK1,
P40447,NIT1_YEAST,YIL164C,Putative nitrilase-like protein NIT1,NIT1,
P10363,PRI1_YEAST,YIR008C,DNA primase small subunit,PRI1,
P36001,FOLC_YEAST,YKL132C,Probable folylpolyglutamate synthase,RMA1,
Q12372,MMP1_YEAST,YLL061W,S-methylmethionine permease 1,MMP1,
Q07950,YEH2_YEAST,YLR020C,Sterol esterase 2,YEH2,
Q02983,RRN5_YEAST,YLR141W,RNA polymerase I-specific transcription initiation factor RRN5,RRN5,
P09368,PUT1_YEAST,YLR142W,Proline oxidase, mitochondrial precursor,PUT1,
Q99278,MED11_YEAST,YMR112C,RNA polymerase II mediator complex subunit 11,MED11,
Q12676,FOLD_YEAST,YMR113W,Folylpolyglutamate synthase,FOL3,
Q04477,SPC24_YEAST,YMR117C,Kinetochore protein SPC24,SPC24,
